COUNTRY,YEAR,VEHICLE,FUEL,UNITS
Belgium,2014,Large Cars,Hybrid,138
Belgium,2014,Large Cars,Petrol,4905
Belgium,2014,Luxury Cars,Alternative,0
Belgium,2014,Luxury Cars,Diesel,956
Belgium,2014,Luxury Cars,Electric,0
Belgium,2014,Luxury Cars,Hybrid,247
Belgium,2014,Luxury Cars,Petrol,317
Belgium,2014,Medium Cars,Alternative,309
Belgium,2014,Medium Cars,Diesel,75266
Belgium,2014,Medium Cars,Electric,224
Belgium,2014,Medium Cars,Hybrid,64
Belgium,2014,Medium Cars,Petrol,30826
Belgium,2014,Mini Cars,Alternative,176
Belgium,2014,Mini Cars,Diesel,1289
Belgium,2014,Mini Cars,Electric,91
Belgium,2014,Mini Cars,Hybrid,0
Belgium,2014,Mini Cars,Petrol,25931
Belgium,2014,Minivans,Alternative,98
Belgium,2014,Minivans,Diesel,46056
Belgium,2014,Minivans,Electric,39
Belgium,2014,Minivans,Hybrid,0
Belgium,2014,Minivans,Petrol,18978
Belgium,2014,SUVs,Alternative,21
Belgium,2014,SUVs,Diesel,74886
Belgium,2014,SUVs,Electric,10
Belgium,2014,SUVs,Hybrid,158
Belgium,2014,SUVs,Petrol,29936
Belgium,2014,Small Cars,Alternative,94
Belgium,2014,Small Cars,Diesel,30503
Belgium,2014,Small Cars,Electric,282
Belgium,2014,Small Cars,Hybrid,179
Belgium,2014,Small Cars,Petrol,62972
Belgium,2014,Sports Cars,Alternative,2
Belgium,2014,Sports Cars,Diesel,893
Belgium,2014,Sports Cars,Electric,570
Belgium,2014,Sports Cars,Hybrid,101
Belgium,2014,Sports Cars,Petrol,2756
Belgium,2015,Executive Cars,Alternative,4
Belgium,2015,Executive Cars,Diesel,14167
Belgium,2015,Executive Cars,Electric,118
Belgium,2015,Executive Cars,Hybrid,0
Belgium,2015,Executive Cars,Petrol,749
Belgium,2015,Large Cars,Alternative,17
Belgium,2015,Large Cars,Diesel,50524
